RANK,Country,Happiness Score,Healthy Life Expectancy,Sunshine Hrs per Year,Average Income ($),Alcohol Consumption (L/year)
1,Finland,7.821000000000001,0.775,1858.0,18742.0,10.65
2,Denmark,7.636,0.777,1932.0,20304.0,10.13
3,Iceland,7.557,0.8029999999999999,1326.0,19300.0,9.21
4,Switzerland,7.5120000000000005,0.8220000000000001,1932.75,25787.0,11.23
5,Netherlands,7.415,0.787,1662.0,19690.0,9.67
7,Sweden,7.3839999999999995,0.8029999999999999,1782.5,20193.0,9.04
8,Norway,7.365,0.7859999999999999,1373.33,25272.0,7.14
9,Israel,7.364,0.818,3311.0,13271.0,4.38
11,Austria,7.162999999999999,0.774,1884.0,20718.0,11.93
12,Australia,7.162000000000001,0.772,2843.57,21329.0,10.36
13,Ireland,7.041,0.779,1453.0,17938.0,12.75
14,Germany,7.034,0.7759999999999999,1644.0,19730.0,12.79
15,Canada,7.025,0.7829999999999999,2028.04,22042.0,8.81
16,United States of America,6.977,0.628,2827.62,25332.0,9.97
17,United Kingdom,6.943,0.75,1530.0,18133.0,11.45
19,Belgium,6.805,0.764,1546.0,17917.0,10.8
20,France,6.687,0.8079999999999999,2166.67,19409.0,12.23
22,Slovenia,6.63,0.769,1974.0,13056.0,12.11
28,Romania,6.477,0.655,2115.0,5949.0,12.34
29,Spain,6.476,0.8079999999999999,2800.2,13822.0,12.67
30,Uruguay,6.474,0.672,2481.4,9888.0,6.92
31,Italy,6.4670000000000005,0.8009999999999999,2372.25,15547.0,8.01
33,Malta,6.447,0.789,3054.0,16509.0,8.27
34,Lithuania,6.446000000000001,0.659,1691.0,10479.0,12.78
35,Slovakia,6.391,0.7070000000000001,2038.0,8408.0,11.06
36,Estonia,6.341,0.728,1994.5,12540.0,10.75
37,Panama,6.309,0.7090000000000001,1743.5,9453.0,7.77
38,Brazil,6.292999999999999,0.615,2237.58,7654.0,7.32
40,Kazakhstan,6.234,0.611,2431.5,4313.0,5.0
41,Cyprus,6.221,0.8190000000000001,3314.1,15663.0,10.8
42,Latvia,6.18,0.637,1754.0,9727.0,13.19
43,Serbia,6.178,0.6579999999999999,2055.0,5252.0,8.85
44,Chile,6.172000000000001,0.748,2841.78,9304.0,8.95
45,Nicaragua,6.165,0.617,2759.9,3913.0,5.07
46,Mexico,6.127999999999999,0.623,2596.25,4929.0,5.05
47,Croatia,6.125,0.7090000000000001,2272.0,8008.0,8.73
48,Poland,6.122999999999999,0.7120000000000001,1571.0,10155.0,11.89
49,El Salvador,6.12,0.607,2957.0,3989.0,4.09
51,Hungary,6.086,0.6679999999999999,1988.0,8613.0,11.07
53,Uzbekistan,6.063,0.6,2823.9,752.0,2.61
54,Japan,6.039,0.866,1837.12,17095.0,10.09
55,Honduras,6.022,0.555,2259.8,3109.0,3.93
56,Portugal,6.016,0.777,2770.0,10316.0,12.09
57,Argentina,5.9670000000000005,0.662,2220.3,6935.0,9.45
58,Greece,5.9479999999999995,0.774,2773.0,8131.0,10.5
59,South Korea,5.935,0.841,2196.65,14316.0,8.45
60,Philippines,5.904,0.514,2103.1,2199.0,7.02
61,Thailand,5.891,0.6970000000000001,2175.02,5670.0,8.5
62,Moldova,5.857,0.597,2126.0,3590.0,12.85
66,Colombia,5.781000000000001,0.72,1930.78,5201.0,5.45
67,Bosnia and Herzegovina,5.768,0.665,1769.0,7131.0,7.81
68,Mongolia,5.761,0.467,2791.5,3409.0,5.9
71,Bolivia,5.6,0.555,2288.9,4787.0,3.91
72,China,5.585,0.705,2028.58,4246.0,6.04
73,Paraguay,5.577999999999999,0.624,2803.0,6373.0,7.01
74,Peru,5.559,0.735,2281.65,4977.0,6.78
75,Montenegro,5.547000000000001,0.659,2481.0,5123.0,12.24
76,Ecuador,5.5329999999999995,0.708,1909.55,5046.0,3.27
77,Vietnam,5.485,0.611,2123.5,3881.0,7.93
80,Russia,5.459,0.586,1972.79,7275.0,10.5
82,Armenia,5.399,0.6679999999999999,2474.0,2810.0,4.67
85,Bulgaria,5.371,0.64,2177.0,7474.0,12.46
88,Ivory Coast,5.235,0.322,2321.32,1358.0,3.04
89,North Macedonia,5.199,0.637,2339.0,4279.0,6.43
90,Albania,5.199,0.7190000000000001,2544.0,3141.0,6.82
91,South Africa,5.194,0.361,3141.32,4081.0,9.45
94,Bangladesh,5.155,0.581,2066.0,1414.0,0.0
96,Algeria,5.122000000000001,0.643,3266.5,2996.0,0.63
98,Ukraine,5.084,0.583,1955.0,5010.0,8.34
100,Morocco,5.06,0.565,3155.47,3721.0,0.49
101,Mozambique,5.048,0.191,2838.0,947.0,2.69
102,Cameroon,5.048,0.317,2165.12,1841.0,5.52
103,Senegal,5.046,0.447,3146.0,1137.0,0.73
105,Georgia,4.973,0.595,2046.0,2814.0,9.47
106,Gabon,4.958,0.396,1720.2,3544.0,8.08
107,Iraq,4.941,0.5539999999999999,3240.8,2293.0,0.37
108,Venezuela,4.925,0.578,2895.3,3741.0,3.56
109,Guinea,4.891,0.275,2440.0,1036.0,1.09
110,Iran,4.888,0.642,2821.7,5924.0,1.01
111,Ghana,4.872,0.409,2367.5,2422.0,2.78
112,Turkey,4.744,0.7020000000000001,2333.8,7267.0,1.77
113,Burkina Faso,4.67,0.32,3209.0,1002.0,11.05
115,Benin,4.623,0.335,2630.47,989.0,2.23
117,Uganda,4.603,0.418,2304.0,1166.0,12.48
118,Nigeria,4.552,0.3,2669.08,1021.0,6.19
119,Kenya,4.543,0.401,3030.02,1197.0,2.15
120,Tunisia,4.516,0.6559999999999999,3049.95,4076.0,2.04
121,Pakistan,4.516,0.374,3108.52,1797.0,0.31
123,Mali,4.479,0.311,3099.87,861.0,1.31
124,Namibia,4.459,0.354,3737.5,4023.0,3.15
129,Egypt,4.288,0.5479999999999999,3710.68,1847.0,0.14
131,Ethiopia,4.2410000000000005,0.457,2784.85,1107.0,2.2
135,Togo,4.112,0.36,2579.95,964.0,2.66
136,India,3.7769999999999997,0.47100000000000003,2517.02,1314.0,5.61
137,Zambia,3.76,0.306,2965.47,1045.0,4.46
138,Malawi,3.75,0.38799999999999996,2795.87,733.0,4.08
139,Tanzania,3.702,0.425,3032.85,992.0,12.04
144,Zimbabwe,2.995,0.27,3065.4,1429.0,4.52
